SLR_Author,AbstractID,Abstract_Year,Abstract
c,125,2018,"Although Neural Networks (NN) are extremely useful for the solution of several problems such as object recognition and semantic segmentation, the NN libraries usually target devices which face several drawbacks such as memory bottlenecks and limited efficiency (e.g. GPUs, multi-core processors). Fortunately, the recent implementation of Hardware Neural Networks aims to tackle down this problem and for that reason several researchers had turn back their attention to them. This paper presents the Systematic Literature Review (SLR) of the most relevant HNN works presented in the last few years. The main sources chosen for the SLR were the IEEE Computer Society Digital Library and the SCOPUS indexing system, from which 61 papers were reviewed according to the inclusion and exclusion criteria, and of which after a detail assessment, only 20 papers remained. Moreover, the increase in the number of papers per year reflects that the interest in HNN had been growing up. Finally, the results show that the most popular NN hardware platforms are the FPGAs-based."
d,126,2018,"the development of localization techniques has grown rapidly, especially localization techniques that use satellites known as the Global Positioning System. Localization techniques using this satellite cannot work in buildings; therefore research for localization techniques in buildings has been the focus of researchers in the last decade. Localization techniques in the area that cannot be covered by satellite can be split into two groups namely techniques signal using Bluetooth Low Energy (BLE) and techniques using the access point or Wi-Fi. Most researcher still face problems in localization technique in building known as Indoor Position System (IPS) implementation, especially to escalation the precision of techniques. In this paper, we presented a assessment of the papers (2006-2016) on indoor position system that focus on accuracy and placement of sensor for both BLE and Wi-Fi. This paper is a Systematic Literature Review (SLR) establishes a fusion exploration based on the exploration model by PRISMA checklist. The finishing identifies of chosen major papers for the initially phase had 25 major papers; the complete texts of 25 major papers were explored. Then, we implemented the synthesis to construct parameter and aspects that affect accuracy of indoor position system implementation for BLE and Wi-Fi. Base on review, we can conclude that the fingerprint of sensor play important role to increase accuracy of system."
a,127,2017,"The main purpose of this study is to determine the Information System (IS) adoption model that applied to Enterprise 2.0 applications. To achieve the objectives, we conduct the systematic literature review method that summaries all the studies required in IS adoption model. We have discovered 257 papers, and selected into 15 best papers through several stages using Kitchenham method. During systematic literature review, the research questions can be identified, analyzed and answered. A result is a variety approach depends on several factors such as organization, environment, technology, personal, competence and others."
b,128,2020,"Intelligent tutoring systems (ITSs) are computer programs that provide instruction adapted to the needs of individual students. Dialog systems are computer programs that communicate with human users by using natural language. This paper presents a systematic literature review to address ITSs that incorporate dialog systems and have been implemented in the last twenty years. The review found 33 ITSs and focused on answering the following five research questions. a) What ITSs with natural language dialogue have been developed? b) What is the main purpose of the tutoring dialogue in each system? c) What are the pedagogical features of the teaching process performed by the ITSs with natural language dialogue? d) What natural language understanding approach does each system employ to understand students â¢ utterances? e) What evidence exists related to the evaluation of ITSs with natural language dialogue? The results of this review reveal that most ITSs are directed toward science, technology, engineering, and mathematics (STEM) domains at the university level, and the majority of the selected ITSs implement the expectations and misconceptions tailored approach. Furthermore, most ITSs use dialog to help students learn how to solve a problem by applying rules, laws, etc. (the apply level in Bloom â¢s taxonomy). With regard to the instructional approach, the selected ITSs help students write correct explanations or answers for deep questions; assist students in problem solving; or support a reflective dialogue motivated by either previously provided content or the result of a simulation. Additionally, we found empirical evaluations for 90.91% of the selected ITSs that measure the learning gains and/or assess the impacts of different tutoring strategies."
c,129,2020,"To analyze the state of the art of machine learning-based disease profiling and personalized treatments, we review the relevant literature included in top peer-reviewed journals and evaluate the coverage according to the ICD-11 framework. We identify advantages, but also research needs and limitations within the ICD-11 disease categories to foster the adaptation of these new E-health technologies."
d,130,2020,"From a perspective of behavioral change, we review medical chatbot literature included in top peer-reviewed journals and conferences, and build up a comprehensive picture. We examine literature on how people feel about using a medical chatbot and based on that how far chatbots are useful to change harmful behavior. To structure the review we use the theory of planned behavior and the theory of reasoned action. Based on this we conclude five design-oriented recommendations. We expect this research to identify behavioral aspects that contribute to the acceptance, usage and effectiveness of medical chatbots in future."
a,131,2020,"We review literature in top journals and conferences on the usage of deep learning for medical image analysis in modern healthcare. As a result it is shown that deep learning offers unique capabilities and breakthroughs in identifying, classifying and segmenting different kinds of medical images, especially related to cancer in the breast, lung, and brain."
b,132,2018,"Open Government Data (OGD) has been growing as a field of research in digital government. Using a systematic review method, this paper sought to capture the status of research in OGD over the last five years from 2012-2018. The key findings indicate that OGD is an emergent research area with no existing theoretical frameworks. The absence of design science methods suggests an opportunity to create digital government platforms based on OGD best practices. There are also strong legal concerns concerning the opening up of government data, the format of the data, and the privacy / security implications of such exposure. There is limited research on OGD for business benefit nor developing countries. We highlight some gaps for further research and identify potential opportunities."
c,133,2020,"From a strong practical point of view, we offer an overview of virtual and augmented reality solutions in medicine. We thus analyzed practical and industrial work included in peer-reviewed articles and conference proceedings."
d,134,2020,"Nowadays, most software systems manage large amount of data. The clients depend heavily on these data and expect them to be available at all times. To use and manage these data in an efficient way and to ensure availability, the data replication technique is applied. So far, three basic models for replication exist with their variants. This paper reviews these three basic models of replication techniques and their variants with regard to how the load is distributed among replicas, what the total throughput is for these set of replicas, and which type of consistency models is supported by them."
a,135,2017,Requirements volatility is a crucial risk factor in software projects as it directly results in cost and time overruns. Accurately predicting requirements volatility is important for better project management. This paper presents a systematic literature review that focuses on the prediction of the requirements volatility. This literature review aims to answer four research questions: 1) how is requirements volatility prediction applied to different software development methods? 2) What are the machine learning algorithms used to predict requirements volatility in software development? 3) What are the attributes (predictors) used to predict requirements volatility in software development? 4) What are the performance metrics for evaluating existing prediction models? This study presents predictors used in the literature and their performances.
b,136,2020,"Due to the growing demand for efficient and precise surgical options, there has been a push in the field of development of medical robot systems in recent years. This paper provides an overview of the current status and development of medical robots in surgery through a systematic literature review of research. The classification is made into minimally invasive and non-invasive robotic assistance. An introduction and definition of medical robots is provided. The advantages and disadvantages of the applications are highlighted. A summary and insight into future work is presented."
c,137,2019,"The distinct abilities of older adults to interact with touchscreen devices have motivated a wide range of contributions in the form of design guidelines, which aim at informing the design for the aging population. However, despite the growing effort by the research community, many challenges still remain in translating these research findings into actionable design guidelines, with reports hinting scant adoption or implementation issues, which ultimately hurt the development of more accessible interactive systems. In this systematic literature review, we look at the research-derived design guidelines that set the foundation for design guideline compilations and standards, analyzing the aforementioned issues from the perspective of experts trying to discover, classify, and evaluate the work on the area of touchscreen design guidelines for older adults. The review analyses 52 research articles resulting in 434 research-derived design guidelines for touchscreen applications. These guidelines are analyzed using a taxonomy that considered the older adults ability evolution and the design aspects that are the target of the recommendations. The results point to the use of different definition of older adults, which go as early as 55+, with the design of displays and interaction styles to accommodate to vision and dexterity declines as the most prominent areas of research. However, proposed guidelines and recommendations were validated in only 15% of articles analyzed. The analysis also revealed that identifying guidelines and characterizing their focus in terms of ability declines and design aspects addressed is a demanding activity and prone to error, given the quality of reporting and details offered in research articles."
d,138,2020,"In this article, with the increased disruptions faced by businesses and the occurrence of natural disasters in the world, supply chain resilience remains a major challenge especially for small- and medium-sized enterprises (SMEs). Despite the relevance of SMEs to the economy, there is limited scholarly work on resilience practices in SMEs and a limited understanding of how SMEs can achieve resilience. To understand the role of supply chain resilience in SMEs, we undertake a systematic literature review (SLR), which results in the identification and analysis of 101 journal articles, published between 2006 and 2019, on SME supply chain resilience. Our analysis into SME supply chain resilience highlights four focal areas: 1) the role of collaboration and culture; 2) the role of SMEs â¢ capabilities; 3) the role of Information Systems; and (4) the role of cost and financing. Our SLR investigation identifies future research directions and focal areas tailored to SMEs to help them to assess and develop their supply chain resilience."
a,139,2019,"Regression testing is the essential process of software maintenance and evolution phase of the software development life cycle for assuring the quality and reliability of updated software. Test case prioritization is the technique of regression testing to reduce the time and effort required for regression testing. Search-based algorithms are used to enhance the efficiency and effectiveness of the method. Among these search-based optimization algorithms, genetic algorithms are becoming more popular among researchers since the last decade. In this paper, we are doing a systematic literature review, i.e., a secondary study of test case prioritization using genetic algorithms. The objective of this review is to examine and classify the current state of use of the genetic algorithm in test case prioritization. In other words, to give a base for the advancement of test case prioritization research using genetic algorithms. With the use of the systematic literature review protocol, we selected the most relevant studies (20 out of 384) from the appropriate repositories by using a set of search keywords, inclusion/exclusion criteria and the quality assessment of studies. The data extraction and synthesis process and the taxonomic classification are used to answer the research questions. We also performed a rigorous analysis of the techniques by comparing them on research methodology, the prioritization method, dataset specification, test suite size, types of genetic algorithms used, performance metrics, and the validation criteria. The whole process took four months for comprehensive analysis and classification of primary studies. We observed that the parameter settings, the type of operators, the probabilistic rate of operators, and fitness function design have a significant impact on the quality of the solutions obtained. This systematic literature review yields that genetic algorithms have great potential in solving test case prioritization problems, and the area is open for further improvements. Future researchers can fill the research gaps by following the suggestions given in the review. From this review, we found that the use of the appropriate approach can make a genetic algorithm based test case prioritization one of the effective methods in regression testing."
b,140,2018,"Quality management and the practices associated with quality improvement continue to shape global business. One such practice is reducing the Cost of Quality (CoQ) in companies; yet both research and industry indicate that CoQ as a competitive tool for continuous improvement is not yet fully adopted by firms. The objective of this study is to assess the factors that prevent the successful implementation of CoQ. The study adopted systematic literature review as the research methodology and the review was conducted on papers published over an eleven year period in the Emerald Insight database between 2007 and 2018. The findings suggest that multiple factors affect the implementation of CoQ programmes. Twenty key factors were identified, with measurement and improvement, return on investment, management support, awareness, and strategic alignment as the most listed contributors to poor CoQ implementation. The paper concludes with key findings and recommendation."
c,141,2017,"Agile software development, become one of the most applied methods and principles in software development industry. That methodology offers some advantages in managing time and requirements from the system user. However, it has some disadvantages in managing project resource such as codes, documentation, and knowledge which emerge in the developments process. Other weakness of agile software development was too focused on the functionality of the system. Those problems can be solved by combining it with other methods. This paper is a systematic literature review which used PRISMA as a method to gather literature regarding the improved agile methodologies from three paper databases, including Science Direct, IEEE Xplore, and ProQuest. As the result, we obtained 15 papers which explained the improved agile software development in all of its aspects, such as its time, documentation and usability."
d,142,2019,"In healthcare, mobile-based interventions support the improvement of clinical process and result in a positive behavioral change and improve the patients' health condition. This study aims at reviewing mobile applications documented for pain management in the scientific databases, to identify the key factors that are vital for pain management. In this research, a systematic literature review was conducted on the selected studies collected from five scientific databases: Medline, PubMed, EMBASE, Web of Science and Scopus. After applying the inclusion and exclusion criteria and performing the quality assessment, twenty-five studies were finalized. It has been observed that the apps were not all-inclusive in features to provide an effective pain self-management solution. As found from the review, the general features of the pain management mobile applications are pain information, pain coping strategy, social support, sub-goals and achievements, self-reporting, feedback, and patient report. Some apps involved psychological interventions. A prominent technique found was cognitive behavior therapy. This study has contributed to the body of knowledge by proposing a conceptual model in guiding the development of pain management mobile applications. The conceptual model was evaluated by a panel of experts to evaluate comprehensiveness, accuracy, and dependencies among the elements of the model, and the appropriateness of the proposed model. Experts recognized the importance of pain management and provided positive feedback to the proposed model."
a,143,2018,"Self-adaptive Systems (SaSs) operate under uncertainty conditions and have intrinsic properties that make their modeling a non-trivial activity. This complexity can be minimized by using Domain-Specific Modeling Languages (DSMLs), which may be created by extending Unified Modeling Language (UML). In face of this, we propose investigating how the UML has been customized to create DSMLs that provide proper support for SaSs modeling. To achieve this, we performed a Systematic Literature Review (SRL) by retrieving studies with snowballing technique, selecting studies according to inclusion and exclusion criteria, and extracting and analyzing data to answer our research questions. As the outcome, we retrieved 786 studies and selected 16 primary studies published between 2005 and 2017. The results reveal that the class diagram has been customized through the profile-based mechanism to provide proper support to analysis and design of context-awareness and self-adaptiveness properties."
b,144,2019,"Nowadays, learning technologies have solved problems of distance, time, and cost in learning. However, another problem with e-learning, which is lack of student motivation, still remains. Some researchers must apply gamification in e-learning with the aim of giving participation and increasing student motivation. Characteristics of different users, the same learning content, and static gamification elements do not increase the expected motivation. To overcome this problem, gamification must be adapted to the characteristics of the learners. This study uses a Systematic Literature Review (SLR) to analyze research components, methods, and framework used in adaptive gamification. The first step is to determine the research question (RQ) and then to search on several kinds of literature published in popular journal databases, namely IEEE Xplore, Science Direct, Scopus, Springerlink and ACM from 2011 - 2019. As a result of a review of 25 selected articles, there are four components of adaptive gamification, namely, player/learner profiles, learning style, behavior, and skill/knowledge. Meanwhile, there are eleven types of methods used in adaptive gamification. The most popular method is scoring and Felder-Silverman Learning Style Model (FSLSM). Generally, the proposed framework consists of three elements namely adaptive gamification engine, adaptive component, and gamification display."
c,145,2019,"Organizations are needed of flexible structures to achieve their aims. In the software arena, Self-organization is the one of the principles of the agile methodologies as defined in the agile manifesto. Autonomous agile teams are a way to conform self-organization. The main objective of this paper is to know about the how autonomous agile teams organize themselves and what are the benefits and the challenges faced by these teams. A systematic literature review was conducted to find answers to these questions. 23 relevant papers were identified as primary sources to define and study autonomous and self-organized agile team. From the review, it was found that there are many benefits and challenges of autonomous agile teams and the various strategies to overcome the challenges."
d,146,2018,"Bad smells are sub-optimal code structures that may represent problems that need attention. We conduct an extensive literature review on a huge body of knowledge from 1990 to 2017. We show that some smells are much more studied in the literature than others and some of them are intrinsically inter-related (which). We give a perspective on how the research has been driven across time (when). In particular, while the interest in duplicated code emerged before the reference publications by Fowler and Beck and by Brown et al., other types of bad smells started to be studied only after these seminal publications, with an increasing trend in the last decade. We analyzed aims, findings, and respective experimental settings and observed that the variability on these elements may be responsible for some apparently contradictory findings on bad smells (what). Moreover, while in general bad smells of different types are studied together, only a small percentage of these studies actually investigate the relations between them (co-studies). In addition, only few relations between some types of bad smells were investigated, while there are other possible relations for further investigation. We also noted that authors have different levels of interest in the subject, some of them publishing sporadically and others continuously (who). We observed that scientific connections are ruled by a large  Å small world connected graph among researchers and several small disconnected graphs. We also found that the communities studying duplicated code and other types of bad smells are largely separated. Finally, we observed that some venues are more likely to disseminate knowledge on Duplicate Code (which often is listed as a conference topic on its own), while others have a more balanced distribution among other smells (where). Finally, we provide a discussion on future directions for bad smell research."
a,147,2018,"The aim of Ambient Assisted Living (AAL) is to help people (e.g., elderly, children) to have an independent and monitored life with the use and assistance of technology. For this population, specific technologies have been developed; many of those technologies (i.e., hardware, software) use sensors and embedded systems. Although there are many studies that address AAL approaches, no systematic literature reviews have been presented that cover hardware and software working together and take into account specific disabilities. Therefore, in this paper a systematic literature review of primary studies related to AAL is presented, which is focused on establishing software and hardware relations working together in order to solve or support specific disabilities. In this study, 3297 articles were extracted, from them only 48 were selected after applying the corresponding inclusion and exclusion criteria."
b,148,2019,"Admissibility of Evidence is the eligibility of particular pieces of evidence for inception as part of the evidence in a case. Admissibility means the character or quality to be accepted and allowed to be presented or introduced as evidence in court. To be admissible means capable of being legally admitted or allowable or permissible as evidence or worthy of gaining entry or being admitted. This study focus on carrying out a systematic literature review and meta-analysis on Digital Evidence Admissibility. The methodology employed in this study was the querying of four academic database resources systematically and fundamentally identifying kinds of literature related to digital evidence admissibility through identification, screening, eligibility and inclusion criteria. The advantage of this study is revealing the gap and trends in digital evidence admissibility as the article published between the period of 2015 through 2018 are relative with the following variation 64%, 21% 7%, for the following respectively, IEEE, Science Direct, ACM Digital library, as well as Research Gate. While at the period under review, 2019 is yet to record publication in the field of research in Digital Evidence Admissibility. The period under review witnessed a low academic publication in the field of Digital Evidence admissibility. This research will aid in projecting future research in the aforementioned research field."
c,149,2018,"Digital transformation is the integration of digital technology into all sectors of a business, fundamentally altering how you perform and bring value to customers. It has an impact and benefits on the business models, the operational processes and the customer experience. Moreover, when the digital transformation has extended to the entire areas of business activities, some of sectors has a chance to developed with more scenarios in the future comparing from others. The main goal of this paper is to give a general review of a systematic literature on digital transformation from a previous study to the latest five years. The results indicated that organizations should modify their business plan or policy to a new digital business model in order to achieve their goals. This mostly shows in the applying of operation and process management. In this study, it is very difficult to identified the entire opportunities and challenges of digital transformation, but also happened these problems in the previous study."
d,150,2020,"EA (Enterprise Architecture) visualization methodologies have been explored by researchers and engineers to conduct EA modeling. The objectives of EA modeling are to clarify enterprise strategies, visualize business processes, and model information systems to manage resources, improve organization structure, adjust information strategy, and create new business value. Therefore, EA models can be broadly applied in various fields. For example, the applications include business modeling, information system architecture design, technology infrastructure configuration, software maintenance, and system security analysis. As the primary source of information, EA models are of paramount importance to researchers, architects, and developers. However, up to now, the purpose and means of these EA visualization methods have never been systematically analyzed and discussed, and a generalized EA visualization methodology with the ability to meet different demands is needed. The paper narrows this gap by conducting a systematic literature review on enterprise architecture visualization methodologies. In this study, 112 papers are retrieved by a manual search in 5 academic databases, a systematic literature review on EA visualization is explained to show a systematized category of visualization approaches, and then a general visualization approach is proposed by systematically reviewing the papers. Finally, the paper is concluded by discussing the contributions and limitations of the study."
a,151,2018,"In an organization knowledge sharing is needed in an effort to innovate. Knowledge sharing process required an enabler that will help the process. We know that today knowledge is one of the main factors in generating innovation, so this research aims to provide information, description and more comprehensively identifies the enablers of knowledge sharing and the relationship between knowledge sharing and innovation by using empirical literature review. Some steps need to be done to conduct a systematic and comprehensive literature review. In this research, the stages are Identification of potential study, Study Selection based on criteria, Quality assessment, Data Extraction, and Data analysis. Based on the literature review systematically compiled it is obtained 15 main articles that correspond to the purpose of research. From these 15 articles can be identified various enablers that are important in knowledge sharing, the type of innovation, as well as the relationship between knowledge sharing and innovation."
b,152,2018,"Data are substantial in the process of decision making. One of the important steps to provide data is data collection. Currently, there are several methods of data collection system that have been used. Each method has features and technology characteristics that can differ from one another. The study conducts a systematic literature review (SLR) with the objective to understand the feature, technology, method for data collection system in the previous research. This understanding can be used as a base for developing a data collection system platform. The first step is determining the research question (RQ), then searching the previous research on several database journals e.g. IEEE Xplore, Scopus, SpringerLink, ScienceDirect dan ACM. After reviewing 23 chosen articles, the study conclude that there are several features in data collection system that can be divided into categories of preparation, collection, transmission and security; Cloud, portable devices (mobile phone) and GPS are some of the technologies that are widely used to support data collection system; PAPI, CATI, CAPI, and CAWI currently exist method for data collection system; CAPI is the most widely used choice in previous research; The integration of several technologies or methods increase the functionality on the implementation."
c,153,2019,"Learning can be performed in various ways and can utilize different technologies. This paper presents a review of current and previous research to understand the use of virtual reality technology for learning. This paper used a systematic literature review (SLR) as a method. Research question (RQ) was determined in the first step. The query for searching the previous research on popular database journals was generated from previously created RQ. Popular journals included IEEE Xplore, ScienceDirect, SpringerLink, Scopus, and ACM Digital Library. Thirty-two related articles were produced from the search, then reviewed. The study concluded that there were four purposes of using virtual reality for learning, two types of devices used, and two types of user experiences."
d,154,2018,"Currently, software organizations are implementing agile methodologies in global software development (GSD) because of low development cost, schedule and high quality product. However, GSD project is complex undertaken because of it distributed dimensions especially when the agile methodologies are concerned. The objective of this study is to identify the human related factors that can negatively influence agile practices in GSD organizations, and proposed a hypothetical model of the identified challenges related to the scaling agile methodologies. A Systematic Literature Review (SLR) method was used to identify the challenges. In the findings, a total of eleven challenges were identified using SLR. This study also reported the Critical Challenges (CChs) for scaling agile methodologies using a criterion of the challenges having a frequency Ã¢â °Â¥ 50 %. Findings reported the six out of eleven challenges as critical challenges in scaling agile methods. Based on the identified challenges, a hypothetical model was presented that is highlighted a relationship between identified challenges and the implementation of agile methodologies in GSD environment."
a,155,2017,"Human behavior inside organizations is considered the main threat to organizations. Moreover, in information security the human element consider the most of weakest link in general. Therefore it is crucial to create an information security culture to protect the organization's assets from inside and to influence employees' security behavior. This paper focuses on identifying the definitions and frameworks for establishing and maintaining information security culture inside organizations. It presents work have been done to conduct a systematic literature review of papers published on information security culture from 2003 to 2016. The review identified 68 papers that focus on this area, 18 of which propose an information security culture framework. An analysis of these papers indicate there is a positive relationship between levels of knowledge and how employees behave. The level of knowledge significantly affects information security behavior and should be considered as a critical factor in the effectiveness of information security culture and in any further work that is carried out on information security culture. Therefore, there is a need for more studies to identity the security knowledge that needs to be incorporated into organizations and to find instances of best practice for building an information security culture within organizations."
b,156,2018,"Background: Requirement prioritization plays key role in software development process. It is essential to prioritize the requirements for making the correct decision for either a single or multiple release of a product. In this paper we performed a systematic analysis on some of the significant factors like importance of requirements, risks, cost and time in context of requirement prioritization. Objective: With benefits these prioritization methods also have some limitations and shortcoming that are brought up in this paper. Stakeholders, managers, developers or their representatives make decisions for prioritization of requirements. Many techniques are analyzed how to manage these prioritizations considering general goals and limitations. Method: For the identification and analyzing of research articles published during 2009-2017, Systematic Literature Review based method is used in this paper. Results: In recent researches 40 different requirement prioritizations techniques has been used. This SLR also shows the major research gaps regarding techniques and tools for software requirements prioritization. Conclusion: This research shows the major prioritization techniques and tools for requirements elicitation. Tools & techniques identified in this study will assist future researchers to expend their views in the context. Moreover, it will help requirement engineers and practitioners to choose requirement prioritization techniques and tools according to their needs."
c,157,2018,"Numerous problems investigated in Software Aging and Rejuvenation (SAR) research are also of interest of other research communities. One of these problems is memory leak detection, which is one of the most recurrent topic in the SAR literature in its twenty-three years. Due to this major interest of SAR researchers on memory leak detection techniques, naturally a question emerges: how other areas deal with this problem? To answer this question we surveyed the main scientific digital libraries, from 1982 to 2017, looking for studies on memory-leak detection that were not originated in the SAR community. We found 105 papers that matched our inclusion and exclusion criteria. Our method was based on the systematic mapping review approach. The empirical findings revealed several intersections of SAR research with studies conducted in other areas, offering interesting insights on different research cooperation opportunities."
d,158,2019,"The elderly experience difficulties when using design-for-all user interfaces. Moreover, their age-related issues increase over time. In the digital age, the mobile phone is most popularly used by the elderly to support their daily living and help them live more independently. However, mobile user interface guidelines customized for specific elderly groups are lacking. Cognitive load is one of the crucial factors that software developers and designers should consider when developing user interfaces for the elderly. To understand these aspects in more detail, we need to review the current literature and identify existing research gaps. This study investigates what are the focuses of mobile user interface design for the elderly by using a systematic mapping review method. Currently, this research presents a generic view, classification type, and new cognition aspects of overall user interface designs for the elderly. The findings show that this topic deserves more attention than it has received."
a,159,2019,"As the digital world is growing widespread crime in the cyberspace is also increasing. Knowledge sharing and utilization of services attracts to use the digital devices, but the concern here is malicious usage of the system. If the crime takes place over the network how to collect it, analyze it and investigate based on the evidences. So, the role of forensic and incident response is crucial here. Digital forensics is categorized in Disk, Live, Network and Mobile Forensics. Anomaly or attack over the network comes under network forensic branch. In this paper extensive literature review is performed to compare the latest intrusion detection systems and based on the learning's a system is proposed which covers the peer to peer architecture system and utilization of web robots to trace the attack and log it in a form which will be a useful input for forensic investigation and analysis work."
b,160,2020,"Big data (BD) analytics is one of the critical components in the digitalization of the oil and gas (O&G) industry. Its focus is managing and processing a high volume of data to improve operational efficiency, enhance decision making and mitigate risks in the workplace. Enhanced processing of seismic data also provides the industry with a better understanding of BD applications. However, the industry still exercises caution in adopting new technologies. The slow pace of technology adoption can be attributed to various causes, from the obstacles to the integration with existing systems, to cybersecurity for defending the BD system against cyber attacks. In some applications using wearable devices, physiological and location-tracking data also causes concerns related to workplace privacy implications. These shortcomings give rise to uncertainties about the practical benefits and effectiveness of applying BD in O&G activities. The objective of this paper is to perform a systematic review of BD analytics within the context of the O&G industry. This paper attempts to evaluate technical and nontechnical factors affecting the adoption of BD technologies. The study includes BD development platforms, network architecture, data privacy implications, cybersecurity, and the opportunities and challenges of adopting BD technologies in the O&G industry."
c,161,2017,"In service oriented computing, Web service selection is an important part of Web service composition. The Web service composition is achieved by solving the Web service concretization problem. The literature presents two types of Web service concretization approaches: local optimization approaches and global optimization approaches. There are three types of algorithmic methods in the global optimization approaches: optimal methods, sub-optimal methods, and soft constraints-based methods. The bio-inspired algorithms are sub-optimal methods. This paper will first present a hierarchical taxonomy of web service concretization approaches. Then we conduct a systematic review on the current research of Web service concretization based on three bio-inspired algorithms, namely, ant colony optimization algorithms, genetic algorithms, and particle swarm optimization algorithms. Based on the findings from the systematic review, this paper also discusses the underlying applications of bio-inspired algorithms to the data-intensive service concretization problems."
d,162,2019,"The aim of this paper is to provide a systematic literature review of blockchain hardware acceleration. Blockchain technology has achieved significant attention in recent years particularly in the area of cryptocurrency however it is gaining popularity in other applications such as supply chain management and e-government. Based on a structured, systematic review of the relevant literature, we present a classification of the primary areas in blockchain technology that make use of heterogeneous hardware for accelerating certain blockchain functions. Based on these findings, we identify various research gaps and future exploratory directions that are anticipated to be of significant value both for academics and industry practitioners."
a,163,2020,"Blockchain, a form of distributed ledger technology has attracted the interests of stakeholders across several sectors including healthcare. Its' potential in the multi-stakeholder operated sector like health has been responsible for several investments, studies, and implementations. Electronic Health Records (EHR) systems traditionally used for the exchange of health information amongst healthcare stakeholders have been criticised for centralising power, failures and attack-points with exchange data custodians. EHRs have struggled in the face of multi-stakeholder and system requirements while adhering to security, privacy, ethical and other regulatory constraints. Blockchain is promising amongst others to address the many EHR challenges, primarily trustless and secure exchange of health information amongst stakeholders. Many blockchain-in-healthcare frameworks have been proposed; some prototyped and/or implemented. This study leveraged the PRISMA framework to systematically search and evaluate the different models proposed; prototyped and/or implemented. The bibliometric and functional distribution of all 143 articles from this study were presented. This study evaluated 61 articles that discussed either prototypes or pilot or implementations. The technical and architectural analysis of these 61 articles for privacy, security, cost, and performance were detailed. Blockchain was found to solve the trust, security and privacy constraints of traditional EHRs often at significant performance, storage and cost trade-offs."
b,164,2018,"Because of the dynamic environments of business and IT, achieving any alignment between the two fields has become challenging. In view of its multiple viewpoints and artifacts, the discipline of enterprise architecture (EA) is often regarded as an effective methodology to deal with business-IT alignment (BITA) issues, and thus has attracted plenty of research. This article conducts a systematic literature review of BITA research using EA. Six questions are answered through 5W1H (When, Who, What, Why, Where, How) analysis; these questions aim to acquire a thorough understanding of BITA from the perspective of EA, to discover weak points in the status quo, and to identify future research directions."
c,165,2018,"Compressive Sensing (CS) is a new sensing modality, which compresses the signal being acquired at the time of sensing. Signals can have sparse or compressible representation either in original domain or in some transform domain. Relying on the sparsity of the signals, CS allows us to sample the signal at a rate much below the Nyquist sampling rate. Also, the varied reconstruction algorithms of CS can faithfully reconstruct the original signal back from fewer compressive measurements. This fact has stimulated research interest toward the use of CS in several fields, such as magnetic resonance imaging, high-speed video acquisition, and ultrawideband communication. This paper reviews the basic theoretical concepts underlying CS. To bridge the gap between theory and practicality of CS, different CS acquisition strategies and reconstruction approaches are elaborated systematically in this paper. The major application areas where CS is currently being used are reviewed here. This paper also highlights some of the challenges and research directions in this field."
d,166,2018,"This paper reports on results from a systematic review that characterizes the state-of-the-art on cost reduction for mutation testing. It analyzes the evolution of research on this topic and its underlying goals and techniques, and identifies metrics used to measure cost reduction. The mixed search strategy used automatic search, snowballing, and a survey of authors of primary studies. The analysis is based on a set of 165 peer-reviewed studies, from which 146 present either original or updated approaches and results for cost reduction of mutation testing. A list of 6 main goals for cost reduction is presented, and 22 techniques were identified. Historically, 18 metrics have been used to measure the gains and losses observed in experimental studies. In the last decade, substantial growth in the number of published studies was observed, particularly among techniques such as selective mutation, evolutionary algorithms, control-flow analysis, and higher order mutation."
